TC Collection,Size Group,rdf2vec-cbow-200-original,rdf2vec-cbow-oa-200-original,rdf2vec-sg-200-original,rdf2vec-sg-oa-200-original,non-rdf2vec-ComplEx-200-original,non-rdf2vec-DistMult-200-original,non-rdf2vec-RESCAL-200-original,non-rdf2vec-RotatE-200-original,non-rdf2vec-TransE-L1-200-original,non-rdf2vec-TransE-L2-200-original,non-rdf2vec-TransR-200-original,rdf2vec-cbow-200-avgbin,rdf2vec-cbow-oa-200-avgbin,rdf2vec-sg-200-avgbin,rdf2vec-sg-oa-200-avgbin,non-rdf2vec-ComplEx-200-avgbin,non-rdf2vec-DistMult-200-avgbin,non-rdf2vec-RESCAL-200-avgbin,non-rdf2vec-RotatE-200-avgbin,non-rdf2vec-TransE-L1-200-avgbin,non-rdf2vec-TransE-L2-200-avgbin,non-rdf2vec-TransR-200-avgbin,rdf2vec-cbow-128-autoencoded,rdf2vec-cbow-oa-128-autoencoded,rdf2vec-sg-128-autoencoded,rdf2vec-sg-oa-128-autoencoded,non-rdf2vec-ComplEx-128-autoencoded,non-rdf2vec-DistMult-128-autoencoded,non-rdf2vec-RESCAL-128-autoencoded,non-rdf2vec-RotatE-128-autoencoded,non-rdf2vec-TransE-L1-128-autoencoded,non-rdf2vec-TransE-L2-128-autoencoded,non-rdf2vec-TransR-128-autoencoded,rdf2vec-cbow-256-autoencoded,rdf2vec-cbow-oa-256-autoencoded,rdf2vec-sg-256-autoencoded,rdf2vec-sg-oa-256-autoencoded,non-rdf2vec-ComplEx-256-autoencoded,non-rdf2vec-DistMult-256-autoencoded,non-rdf2vec-RESCAL-256-autoencoded,non-rdf2vec-RotatE-256-autoencoded,non-rdf2vec-TransE-L1-256-autoencoded,non-rdf2vec-TransE-L2-256-autoencoded,non-rdf2vec-TransR-256-autoencoded,rdf2vec-cbow-512-autoencoded,rdf2vec-cbow-oa-512-autoencoded,rdf2vec-sg-512-autoencoded,rdf2vec-sg-oa-512-autoencoded,non-rdf2vec-ComplEx-512-autoencoded,non-rdf2vec-DistMult-512-autoencoded,non-rdf2vec-RESCAL-512-autoencoded,non-rdf2vec-RotatE-512-autoencoded,non-rdf2vec-TransE-L1-512-autoencoded,non-rdf2vec-TransE-L2-512-autoencoded,non-rdf2vec-TransR-512-autoencoded
tc11,5000,0.858682477057477,0.7726452049521914,0.9400649080905445,0.8950478220011111,0.9480164141414141,0.8735060427560427,0.9543080808080808,0.8440661133161133,0.9109621212121213,0.9598712121212122,0.9251740639240639,0.855926604926605,0.8938359854711835,0.9647369958390075,0.8903628138429208,0.8968358585858587,0.7674095424095424,0.9233593077343077,0.8365747758247758,0.9082828282828282,0.932260101010101,0.9303236838236838,0.7672104442827147,0.8660317022779566,0.8433908504857168,0.84881112769407,0.8477594318770919,0.8930589801064205,0.892857964611951,0.8034159372364077,0.827952071972573,0.9160598007408941,0.9096297822377766,0.7092579886550169,0.8571859314555645,0.9483016864253457,0.9166963123356737,0.9223729320540254,0.8323184598698866,0.9383786613285475,0.8575217820578467,0.8183630151170015,0.9242999470789903,0.9307041716300922,0.7095226734676047,0.8610418230859658,0.8895082747281412,0.8837261491517635,0.8502996939785095,0.8946900669565817,0.9160885621591772,0.8556234405947425,0.8570960171187961,0.9523624628977704,0.9297534715031869
tc11,500,0.7822727272727272,0.8751685211708856,0.9459698271852969,0.9665717078620304,0.9099747474747475,0.9246969696969698,0.9389898989898989,0.799135101010101,0.8897474747474746,0.9604797979797981,0.9453282828282829,0.8097727272727272,0.8668178491552921,0.9010407946872036,0.8877421182656785,0.825296717171717,0.7761174242424241,0.883888888888889,0.8135479797979798,0.903503787878788,0.9335353535353536,0.9175505050505052,0.7298113992531509,0.8268611391985822,0.864939596752213,0.9669461400503455,0.8675757575757576,0.8344139347198013,0.9425974025974027,0.8012898595081447,0.9245887445887445,0.9225108225108225,0.8882251082251083,0.7623529003171323,0.8345531679377314,0.9146392438277257,0.8971428571428571,0.8654978354978354,0.9112302751012429,0.9022510822510822,0.6709024921259586,0.878008658008658,0.9087012987012987,0.9068853598905413,0.7427539355735914,0.9518410734117541,0.93997668997669,0.8867099567099567,0.8331168831168831,0.8788660801564028,0.8454400310258575,0.7642229607263871,0.8941125541125542,0.9477056277056276,0.9253556939467019
tc11_hard,50,0.6181547619047619,0.6854213599730478,0.6798171191553545,0.741611127093722,0.6687500000000001,0.6848214285714286,0.7357142857142858,0.6214285714285714,0.6517857142857143,0.7008928571428572,0.6660714285714286,0.6577380952380952,0.7052078576603893,0.6780448717948718,0.7213948684149106,0.7151785714285714,0.6687500000000001,0.699702380952381,0.6014880952380953,0.6397321428571429,0.6961309523809524,0.6985119047619047,0.6220468574635242,0.6930671048946366,0.7008522727272727,0.7067521964673864,0.6668891293891295,0.679313973063973,0.6714135401635403,0.5794933461600128,0.6872775372775373,0.6567350088183422,0.6719175885842552,0.6213033108866443,0.7054940034765984,0.7483875408217514,0.6953826237054085,0.6825321669071669,0.6296596921596921,0.6683561808561809,0.6237539081289081,0.6542673761423762,0.6933271204104537,0.6859577922077923,0.6471821388488055,0.682436994264526,0.705449703804967,0.7242682120582965,0.6778639570306236,0.6373877665544332,0.7008733164983165,0.6362539081289081,0.6822946729196729,0.6809443642776976,0.6715638528138528
tc11_hard,5000,0.6868445819486002,0.6800958213972552,0.7247607432561712,0.7366498188291444,0.7227853976697061,0.7152502377699982,0.7255991641337386,0.627050138300829,0.7120475557244174,0.8056476697061804,0.7526805977710233,0.6754237012091036,0.7155243523481699,0.6946627936480843,0.7265471544432073,0.7124372467071934,0.6865843745934503,0.7044217325227965,0.6350785210164038,0.6882320183050867,0.7795018996960487,0.7319835598677753,0.629305371427525,0.7175422909545203,0.6984401347579048,0.6906688389755199,0.6866877618043642,0.6816346351836458,0.6794668307603119,0.6725003028198161,0.6674819958776658,0.689875131677581,0.6895976264046654,0.6602066011944718,0.7090376551088466,0.7404711537468691,0.7121921993352766,0.7050891412583177,0.6753769339847967,0.7066152221011377,0.6230177562552441,0.6596020524397517,0.7246116630248447,0.697386028298237,0.6532282537083014,0.7053682573843559,0.7384478000425444,0.7273045688931657,0.698741654453297,0.6945365394268793,0.6840332313172803,0.626332284559964,0.7202856337137615,0.7698413621424831,0.6995479313791023
tc11_hard,500,0.6591156914893617,0.6935188731570882,0.7339328883490808,0.7183028932138958,0.6963570162107398,0.6923182624113475,0.6959061550151975,0.619967071935157,0.682253672745694,0.7555794072948329,0.7257111195542046,0.6586312689969605,0.7129531465926242,0.7295110201543951,0.677067691118937,0.6683434650455927,0.6608675278622087,0.6848809523809524,0.606904761904762,0.673845934650456,0.7630800405268491,0.7036315856129686,0.6191980600502475,0.6676000536911002,0.7147403805986813,0.7384554708567458,0.6594064627258305,0.6664902575195158,0.6609646217954024,0.6363632939722789,0.6765344471880979,0.696090243435178,0.6640594332774089,0.6324021003591436,0.6616510458063981,0.7078184111456471,0.730318471669163,0.6623626190410485,0.6904916898182956,0.6893633940316198,0.6130726695982364,0.668512566739862,0.6905490409039957,0.7218357301112349,0.6077302423163154,0.6774341102596754,0.699402567562859,0.7246988954280535,0.6869976294806357,0.6906572547058397,0.6718910771941858,0.6360531018020256,0.6850158579037212,0.7068230215893516,0.7287588732266923
tc10,50,0.9083333333333333,0.8881578947368421,0.9290849673202614,0.9385477582846004,0.9416666666666668,0.9250000000000002,0.9500000000000001,0.8250000000000001,0.9500000000000001,0.9916666666666667,0.875,0.8916666666666666,0.8710526315789474,0.9138888888888889,0.8969298245614036,0.7416666666666667,0.7416666666666667,0.875,0.7833333333333333,0.9249999999999999,0.9916666666666667,0.775,0.8723196881091617,0.8627192982456139,0.9219298245614035,0.8797758284600389,0.7011695906432749,0.7372319688109162,0.9144249512670566,0.7793372319688109,0.8731968810916179,0.9578947368421052,0.7933235867446395,0.8807017543859649,0.8789473684210526,0.9385964912280701,0.9135477582846003,0.7872319688109162,0.7459064327485381,0.9231968810916178,0.7621832358674463,0.9319688109161794,0.9662280701754385,0.7442495126705652,0.931140350877193,0.8969298245614036,0.913157894736842,0.9218810916179337,0.8380116959064328,0.7275341130604289,0.8714912280701755,0.7885477582846003,0.9578947368421052,0.9833333333333334,0.802972709551657
tc10,5000,0.9185097402597403,0.9059750148050211,0.9458070569752559,0.9589548218877421,0.9407359307359306,0.9188048340548342,0.9291962481962482,0.8784765512265512,0.9570595238095239,0.9845,0.893060606060606,0.8770306637806637,0.8829005091152329,0.9368052416460483,0.943070943968913,0.7768383838383838,0.7518145743145744,0.9022438672438673,0.7906684704184704,0.9297932900432899,0.9681468253968255,0.850046176046176,0.8516124974522267,0.862632010837812,0.9144915219266383,0.9140393419791765,0.7995528084324576,0.7621429412567441,0.9080139043741133,0.7661410223162806,0.9066407085964882,0.9565198751195504,0.8079768039631712,0.8598935120031793,0.8828419946083733,0.9222510147355072,0.9211081610614297,0.8369078951093476,0.8318338607793431,0.9088261464265409,0.764629349051432,0.9249627362731844,0.9732306981852137,0.8252995142614591,0.8703323185746287,0.8893624721670754,0.9218964906261462,0.9318620896323672,0.849403140547111,0.8259027275114184,0.9123755250884078,0.7914798035205114,0.9389809261903787,0.980015826268663,0.8443562440634396
tc10,500,0.9101262626262626,0.9079385103652603,0.9509729681379185,0.9566717502905977,0.9373629148629147,0.9477994227994228,0.9437698412698413,0.8942604617604619,0.9665079365079364,0.9851984126984127,0.8841991341991342,0.8804906204906205,0.8964461261700046,0.9281863088495951,0.9331457382111988,0.807128427128427,0.7935822510822511,0.9030772005772004,0.8195526695526696,0.944404761904762,0.9782142857142858,0.8501948051948052,0.8606423218046375,0.8728199838856767,0.9162689030782546,0.9080660910306096,0.7784622377895322,0.7663955200861889,0.9065514144265299,0.7657381920919398,0.9073696089919645,0.9678154233804032,0.8137242127793237,0.8738943109906817,0.8974273958091105,0.9289961376884318,0.9054437987317616,0.8221408265929515,0.828671902840783,0.9141297760176738,0.8100368080136149,0.9477281215853268,0.9640097774312607,0.8307640981354405,0.8758991681424964,0.8898563506529561,0.9222754795052754,0.9258699930836206,0.8489330521950288,0.827695295088639,0.9213249784720925,0.813303725011994,0.9533280536085901,0.9838629282724355,0.8222767435517099
tc10_hard,50,0.8020833333333334,0.797876631104479,0.7647833943636742,0.777909853859221,0.7208333333333333,0.7645833333333333,0.7708333333333334,0.71875,0.7833333333333333,0.7895833333333334,0.7145833333333332,0.7333333333333333,0.7311640802938272,0.741834898530663,0.7099818079248458,0.6208333333333332,0.6041666666666666,0.7250000000000001,0.71875,0.7437499999999999,0.7145833333333332,0.6354166666666666,0.6744541411471792,0.6766199956864515,0.7204714421337725,0.724370293911433,0.6294706963219622,0.5785617160617161,0.7171461976841723,0.6718719132484955,0.7338919782748897,0.7084542742770591,0.6282821696587519,0.6856526911906659,0.6973180125078859,0.7574586004219871,0.7631412188374213,0.5913309176758543,0.6085880013095203,0.7151454382467041,0.6761953763536042,0.7506863916674044,0.7443302039029888,0.61948403214226,0.6851906707919366,0.7228002394932774,0.7713679049491406,0.7631134688096713,0.6251436678651868,0.5997495559995559,0.7174236189267834,0.6928572570186494,0.7402481396943421,0.7403272272734297,0.6235480500512146
tc10_hard,5000,0.7177584257424483,0.7057350164616009,0.7385406906806572,0.7371882802125325,0.7385534304598164,0.7432210073572953,0.7114299487699313,0.6629655752329395,0.7748542695358931,0.780205281014382,0.655627171526734,0.6861087194984941,0.6798940062383744,0.6977756883031997,0.6998336257643718,0.5988559495732196,0.594283013544156,0.6722316430509845,0.6347139860254281,0.71982539652087,0.72599810292156,0.6163171524013891,0.6385991242374276,0.6379949922386535,0.6770723967040412,0.6965976289221235,0.606035058497326,0.5914284588724542,0.674972395015803,0.6351722722200267,0.7112698354490786,0.7019927121365269,0.6177252789945249,0.6474261304165917,0.647999655543952,0.7086418456589268,0.6992527976031635,0.619626966006937,0.6132446888611877,0.6632609583148287,0.6193434214837922,0.7349044411223514,0.7246508489313198,0.6054969994246527,0.6611901870412892,0.6637742212682362,0.7034073750114694,0.7141943055509813,0.6335668406374423,0.6187444167234505,0.6719883322398047,0.6309246773084739,0.740427226031022,0.7382568359366397,0.613157446409513
tc10_hard,500,0.7811241462877284,0.7650619630531077,0.7624003964379072,0.7766027896742304,0.7514956488213262,0.7803909176029963,0.7386924432694427,0.7208826283322317,0.783876817580965,0.7723668484247632,0.7012610156422118,0.7325720147609606,0.7362007594823444,0.7449774937439129,0.7352637244388797,0.630943352059925,0.6300151465080414,0.7127981108173608,0.6695684622163472,0.7478891275611369,0.7237093798193435,0.6340960288609826,0.6700106544460386,0.6902125728380114,0.7148808205702654,0.7237963894140682,0.6054070273599169,0.5905085803476763,0.7060020677981167,0.6875128500513986,0.7315882449021456,0.7324050050050309,0.6396012123753648,0.6917867078274703,0.6955047526832935,0.7454380090421471,0.7408297269547561,0.6192643146181164,0.6201151947205915,0.6956998717079906,0.679681395005587,0.7498069563659203,0.7485918977952585,0.6333189973134488,0.6977783355901783,0.7017700403482708,0.7387993952437449,0.7405312294415709,0.629739900920734,0.6138643791403248,0.7001055204432393,0.6848960376591723,0.7568708552875826,0.7495663905311162,0.6449248751376694
tc07,50,0.7,0.775,0.875,0.85,0.825,0.875,0.95,0.875,0.875,0.975,0.9,0.7,0.75,0.7250000000000001,0.85,0.775,0.8,0.925,0.85,0.85,0.95,0.8999999999999999,0.625,0.75,0.825,0.825,0.9,0.825,0.975,0.7,0.8,0.975,0.8500000000000001,0.6499999999999999,0.7749999999999999,0.75,0.825,0.925,0.825,0.9,0.725,0.85,0.975,0.8999999999999999,0.65,0.7,0.825,0.75,0.85,0.7749999999999999,0.925,0.7250000000000001,0.775,0.975,0.875
tc07,5000,0.7433207036535859,0.7704736080651369,0.9380397702031351,0.9527523131084354,0.966936400541272,0.9337983761840325,0.9425642760487145,0.8456850473612991,0.9316376860622463,0.9887043301759134,0.9790118403247632,0.734453653585927,0.7562802261056712,0.9047647171860698,0.9214511536114378,0.8735531123139377,0.846666102841678,0.9042784167794317,0.8085896481732071,0.8834966170500677,0.9696278755074426,0.9382845060893099,0.7077564997867007,0.7303841809513234,0.8881010903132287,0.9262151176235363,0.8852234467340153,0.8546295979369652,0.9192989588820609,0.791836520023008,0.8821105700477607,0.9541971971378649,0.9278225850212923,0.7155481877067773,0.7494682125513525,0.8644128388172632,0.8950160162357964,0.9196015851774058,0.8821767304171568,0.9193594841411299,0.7990060500214134,0.8884820014576151,0.9635850822350434,0.9312627155220993,0.7284838965243474,0.7392934990862774,0.8970760323568038,0.9278225850212923,0.9299691446403422,0.8983653588479998,0.9128064769540685,0.8042767565473721,0.8950350086446767,0.9706335617153109,0.9497963846801804
tc07,500,0.71,0.7465856891821069,0.9346733668341709,0.9447236180904522,0.925,0.8925000000000001,0.8975,0.825,0.9,0.9824999999999999,0.9450000000000001,0.7,0.728442827635108,0.881833022982935,0.9084378949964547,0.845,0.8474999999999999,0.8825000000000001,0.7725,0.8725,0.9575,0.915,0.7016832629404692,0.7049819650399236,0.8783143939393939,0.9159755834386657,0.8405986990165552,0.8344637296914018,0.8883373924838918,0.7557573141782532,0.8386718870425749,0.949748743718593,0.916823380707217,0.6958103400437772,0.7119647316336282,0.8397095959595959,0.8727070937509633,0.8964300027746093,0.8713043746339058,0.9003452847057373,0.770570644634214,0.8453617782162346,0.9597989949748744,0.9023029256713013,0.6720874310201312,0.7390480007398958,0.8820391414141414,0.9184881462527361,0.8914048771464685,0.862656842494682,0.8768844221105527,0.799287850294417,0.8796898603446681,0.9698492462311558,0.9304960384745815
tc09,50,0.76,0.7828328173374614,0.8233333333333333,0.8795975232198142,0.86,0.79,0.9199999999999999,0.6799999999999999,0.86,0.9199999999999999,0.8300000000000001,0.74,0.7302244582043343,0.8166666666666667,0.8888622291021673,0.7699999999999999,0.74,0.8400000000000001,0.68,0.8,0.8800000000000001,0.77,0.6996052631578947,0.775015479876161,0.8728229665071771,0.8455417956656348,0.761578947368421,0.7431578947368421,0.875263157894737,0.6535526315789474,0.8436842105263157,0.8542105263157895,0.7836842105263158,0.6996052631578948,0.7605417956656347,0.8007177033492823,0.8592569659442724,0.8336842105263159,0.8152631578947368,0.8642105263157894,0.694078947368421,0.8092105263157894,0.8963157894736842,0.8026315789473685,0.6785526315789474,0.7948065015479876,0.8446411483253587,0.8585448916408669,0.811578947368421,0.7736842105263158,0.8968421052631579,0.6960526315789474,0.8036842105263158,0.875263157894737,0.8121052631578948
tc09,5000,0.7714497045579355,0.8555345818304785,0.9008485434404114,0.90664256809064,0.8843779887930072,0.8743837269948476,0.9250411871789368,0.7800204374733215,0.8841222799395616,0.9353786251700722,0.8782301306222294,0.7444648810116192,0.8360595500658864,0.8696891301731207,0.8772222978268542,0.8208477631844474,0.7882615232464785,0.8778432301172874,0.7359529955692229,0.8505837860098018,0.911424921753601,0.856795803355042,0.7307942149068983,0.8089179742589885,0.86733999591038,0.8754902526544205,0.8207677995108853,0.8127627037951681,0.8770315278136795,0.725192573795306,0.8275401740152389,0.8812410503619109,0.8385155855090117,0.7273917377430626,0.8196345690886121,0.8690294912668648,0.879819853820433,0.8474907303001519,0.8203665827447149,0.8887445670208681,0.7253553518438531,0.8389041972915079,0.9024042734534834,0.8579480073551778,0.7371087055193983,0.8270550818260733,0.8724715882675665,0.8820667986647297,0.8613370697343088,0.833817305598941,0.887233214194524,0.7422080822084408,0.8525760649664063,0.9076242301088676,0.8617290664674764
tc09,500,0.746,0.8442481407562099,0.8733400539252607,0.8895904696132597,0.866,0.85,0.907,0.749,0.8800000000000001,0.9189999999999999,0.867,0.7140000000000001,0.8175368169922546,0.8619938823107788,0.863935773480663,0.8009999999999999,0.783,0.8789999999999999,0.745,0.833,0.9030000000000001,0.835,0.7210233992552875,0.7941845861199962,0.8614378515601893,0.8613268887625896,0.790691294764263,0.7789495349574458,0.8844723900037215,0.7101241891884978,0.8383938682621018,0.8795658546360174,0.8419893796696535,0.7090258626004587,0.8068980279679611,0.864508031411263,0.8659865028593583,0.8051760512981995,0.7923612343629234,0.8764322846592048,0.6930353047185293,0.8129624710159448,0.8928521741619673,0.8388385194515215,0.7174676948598064,0.8215276298166311,0.8598753410624502,0.8701976603047046,0.8271902964086241,0.8231034943243248,0.8745238027080411,0.7207215899270545,0.8447184038015629,0.8970621189133485,0.8510169587797393
tc09_hard,50,0.6025,0.6139698666497467,0.6403992210321325,0.6512958821103391,0.6725,0.6300000000000001,0.71,0.5599999999999999,0.6725000000000001,0.745,0.6775,0.6074999999999999,0.6344714370313971,0.6414623035192656,0.6699712361071455,0.615,0.6225,0.6849999999999999,0.5675,0.6625,0.7224999999999999,0.6425,0.5788700918964077,0.6469111861933314,0.6407007168458781,0.6850461068282521,0.6429469507101087,0.6546658312447786,0.7009649122807018,0.6063993316624896,0.653517126148705,0.6992690058479532,0.6719298245614035,0.6059586466165413,0.6359682962680965,0.5991272401433692,0.646559040005076,0.6357873851294904,0.6238324979114453,0.7128216374269006,0.5645906432748539,0.6465350877192984,0.7001315789473683,0.6534795321637428,0.5615810359231412,0.6244147288051352,0.6476272401433693,0.649746174508,0.6501796157059314,0.6465162907268172,0.6963157894736842,0.5832289055973267,0.679561403508772,0.7070760233918129,0.6734252297410191
tc09_hard,5000,0.6555460094481907,0.7516975214220138,0.7839849815374262,0.7953367247300991,0.7838288347439142,0.7741424511074826,0.819675041548772,0.6756539498340126,0.7491365430798442,0.8522350469085636,0.7581355769670227,0.6456688306305857,0.7355097890902338,0.7646485379804974,0.7762134828948887,0.7043158000631541,0.6793979928826953,0.7664241897989456,0.6412008288980019,0.7185502398402865,0.8046609200560078,0.7361343150269444,0.6203248632541709,0.7233908735737067,0.7713345535883089,0.7744501424799164,0.7127668427201922,0.7093717503531943,0.7721269673281322,0.6332998503455849,0.7028780495353918,0.7784204576629337,0.7288835622744391,0.6319003765930064,0.7301378864453939,0.7774909286556702,0.7790589774732244,0.7361090984554405,0.7119182983890819,0.7694706877986379,0.6368214009243938,0.711822629576429,0.7997077736124998,0.7329693683120079,0.6312808060568669,0.7326376815062384,0.774384875271275,0.7810949273956114,0.7476440507636811,0.7212108897781581,0.7692950237673628,0.6504705264542562,0.7219214925254759,0.813821711548567,0.7473490136964951
tc09_hard,500,0.63175,0.7288022930085932,0.7673740227958623,0.7659828274429946,0.776,0.76,0.788,0.65425,0.752,0.8262499999999999,0.745,0.63425,0.7207834073880771,0.7438973189514295,0.7547805559173248,0.67925,0.6492500000000001,0.74825,0.6300000000000001,0.6992499999999999,0.7907500000000001,0.71425,0.6080912851904993,0.7063648640580685,0.7534680097760892,0.7507368270755466,0.6864281105307191,0.6792809978535059,0.7415930806384473,0.5977702053354164,0.6937890276392283,0.7618820101867241,0.7049546264585713,0.6139294048428818,0.7051317699767569,0.7471327839095568,0.7452027434297941,0.6820882482423541,0.6808398165959746,0.7608371053412389,0.6058384860528152,0.6854687015584775,0.7738082930738825,0.7152259474542909,0.605682471177547,0.7056868211378016,0.7554265095794411,0.756941329447408,0.7179897399886178,0.7002932524167162,0.7469499351726123,0.6223330804608469,0.705239321239862,0.7929982061484708,0.7297233280013721
